Loan Application Number,Loan Amount,Loan Duration,Interest Rate,EMI,Borrower Rating by Bank,Borrower's Duration of Employment,Home Ownership of Borrower,Annual Income of Borrower,Borrower's Verification Status,Loan Issue Date,Purpose of Loan,Debt-to-Income Ratio (A ratio calculated based on Borrower's monthly debt repayments to self-reported monthly income),Borrower Delinquency in Last Two Years,Date of Borrower's First  Loan,Number of Months Since the Borrower's Last Delinquency,The Number of Months Since the Borrower's Credit Record  was Updated,Number of Times the Borrower has Availed Loan from the Bank,Number of Negative Comments About the Borrower in Credit History,Total Credit Revolving Balance,Percentage of Credit the Borrower is Using Relative to All Available Revolving Credit,Number of Times the Borrower has Availed Loan from All Banks,Late Fees Received To Date,Last Month Payment was Received,Last Amount Received as Payment,rm_employee_id,Loan Status
26369,88031,38 months,7.48%,2608.993087,AC,9 years,Rental,606176,Source Verified,26-01-2012,Pay-off Other Loans,15.46529837,0,8/9/99,,,10,0,74584,0.381137027,32,0,1/5/14,23999.59309,1149,???
37796,274939,44 months,15.19%,8188.416433,DC,3 years,Under Mortgage,2252969,Verified,20-02-2010,Home Renovation,7.302775948,0,14-07-1996,,,10,0,311874,0.440949715,21,0,1/3/12,161381.1264,3058,???
34114,352098,60 months,19.73%,9276.325661,FE,8 years,Rental,1036405,Verified,25-03-2011,Pay-off Other Loans,16.37426316,0,11/10/04,,94,10,1,364220,0.732164814,13,0,1/9/15,9276.325661,929,???
24138,87995,36 months,11.07%,2883.571805,BD,2 years,Rental,552536,Not Verified,20-06-2010,Others,13.76093077,0,12/7/06,,,7,0,1147,0.02453887,8,0,1/2/11,192.5318051,3802,???
31067,66115,44 months,13.38%,1909.523892,CA,2 years,Rental,324736,Not Verified,27-12-2011,Pay Credit Card Bill,15.52642533,0,12/3/06,30,,11,0,117398,0.866932594,19,0,1/8/15,2062.093892,3647,???
30126,275107,42 months,12.89%,8173.44631,CA,10 years and above,Under Mortgage,878446,Not Verified,14-04-2010,Pay-off Other Loans,23.45957412,0,11/4/00,,,10,0,401607,0.620384326,31,0,1/3/11,237666.0063,963,???
39976,64815,43 months,6.10%,1681.795301,AC,Less than 1 year,Rental,1300893,Not Verified,15-02-2011,Pay-off Other Loans,6.747429918,0,25-06-1992,,,7,0,161481,0.634819193,24,0,1/12/12,37486.0253,122,???
36458,29564,40 months,12.08%,901.4841828,BE,10 years and above,Under Mortgage,665039,Not Verified,3/9/11,Others,22.67193047,0,8/4/90,,,6,0,326746,0.930186504,15,0,1/12/14,907.2041828,2007,???
28332,131848,59 months,15.28%,3191.819561,DC,10 years and above,Under Mortgage,1189668,Not Verified,18-04-2011,Home Renovation,13.29697361,0,21-08-1986,,,4,0,403824,0.85670248,32,0,1/12/11,3191.819561,1991,???
39380,77004,47 months,14.57%,2159.823967,CE,3 years,Under Mortgage,710216,Verified,5/10/10,Pay-off Other Loans,10.39223958,0,3/11/98,,,5,0,3080,0.886612601,6,0,1/7/14,2309.093967,1989,???
26741,36230,53 months,13.04%,902.8899054,CA,7 years,Rental,339821,Not Verified,28-07-2010,Others,18.38325197,0,4/9/00,,,4,0,0,0,3,0,1/10/10,902.8899054,2678,???
33409,79298,41 months,12.96%,2404.013441,CB,Less than 1 year,Rental,541215,Not Verified,5/3/11,Pay Credit Card Bill,7.631686926,0,23-04-2004,,,6,0,59351,0.849580993,8,0,1/7/14,2574.843441,1011,???
29693,55137,46 months,11.31%,1482.746522,BD,1 year,Rental,786705,Not Verified,29-09-2011,Others,1.292513289,0,3/1/07,,,4,0,43497,0.447174523,6,0,1/10/14,13913.95652,1831,???
35745,134716,47 months,7.26%,3301.818091,AD,4 years,Rental,355293,Source Verified,13-02-2011,Pay-off Other Loans,24.78420454,0,23-02-2002,,,15,0,211784,0.541798675,23,0,1/8/14,8815.788091,2939,???
33093,87863,40 months,13.55%,2741.963875,CB,2 years,Rental,255760,Source Verified,27-11-2010,Others,19.68244301,0,8/6/06,,,10,0,79635,0.373850999,10,0,1/6/13,23121.00388,3407,???
32305,233646,60 months,12.92%,5306.174121,CA,10 years and above,Under Mortgage,710426.08,Verified,23-08-2011,Pay Credit Card Bill,25.11365959,0,25-11-1979,,,18,0,261942,0.384588512,36,0,1/6/15,69583.68412,1587,???
32231,88141,44 months,13.07%,2532.067783,CA,3 years,Rental,1079201,Verified,14-06-2011,Pay-off Other Loans,23.56139323,0,12/7/94,,,15,0,490738,0.920790137,22,174.7367849,1/1/15,2705.317783,187,???
31180,142950,43 months,11.05%,4040.851361,BC,10 years and above,Rental,608049,Not Verified,4/8/11,Pay-off Other Loans,20.01587204,0,26-04-2000,83,,17,0,161228,0.495780217,32,0,1/4/13,93327.96136,1042,???
32776,10909,60 months,16.88%,270.3982444,EB,4 years,Rental,143767,Source Verified,3/5/11,Pay-off Other Loans,15.19324459,0,17-11-2007,,,6,0,6849,0.533687892,8,0,1/9/15,270.3982444,1903,???
32946,16586,36 months,13.31%,561.3246957,CC,Less than 1 year,Rental,465306,Not Verified,1/6/09,Holiday,17.21629849,0,12/4/00,,74,7,1,28911,0.732421324,34,0,1/9/10,561.3246957,3728,???
36825,49428,44 months,7.90%,1297.541957,AC,2 years,Own,283843,Not Verified,23-08-2008,Purchase Car,1.253031281,0,4/5/06,,,3,0,11834,0.216486319,1,0,1/6/11,13343.42196,1339,???
30241,85732,38 months,15.54%,2870.927645,DC,2 years,Own,203073,Source Verified,17-10-2010,Pay-off Other Loans,10.06702255,1,1/2/05,20,,2,0,66779,0.94466588,1,0,1/2/13,28381.46765,3436,???
35569,11017,40 months,15.44%,354.0621947,CE,2 years,Under Mortgage,801213,Source Verified,24-10-2011,Home Renovation,16.50466606,1,29-12-1976,10,,12,0,17974,0.337784688,16,0,1/12/14,399.2721947,2234,???
33842,109876,47 months,10.36%,2854.175026,CA,3 years,Rental,1326094,Not Verified,5/10/07,Pay-off Other Loans,14.19730168,0,18-04-1995,0,0,7,0,625085,0.779544982,23,0,1/8/11,2897.625026,2263,???
37022,114525,42 months,14.93%,3517.639082,EC,8 years,Under Mortgage,763595,Not Verified,19-03-2008,Pay-off Other Loans,3.403647169,4,16-05-1997,22,0,8,0,111190,0.609675213,19,212.5572792,1/3/10,284.02,2313,???
40144,110183,46 months,12.14%,3007.515952,BD,8 years,Under Mortgage,719310,Not Verified,4/1/10,Pay-off Other Loans,18.7263934,0,24-05-2000,63,,13,0,371870,0.773340133,28,0,1/9/13,3101.895952,2528,???
38700,71335,38 months,7.16%,2103.563726,AC,10 years and above,Under Mortgage,957711,Not Verified,8/4/10,Pay-off Other Loans,16.17562211,0,14-07-1997,,,16,0,78403,0.153443961,39,0,1/4/13,2219.283726,2914,???
29943,110053,48 months,10.83%,2835.133329,BB,4 years,Rental,497370,Not Verified,10/1/12,Pay-off Other Loans,11.21061552,0,3/9/96,,,8,0,171325,0.868981233,17,0,1/11/15,2966.693329,2947,???
30331,137433,60 months,13.33%,3150.308505,CA,10 years and above,Rental,724074,Verified,28-10-2011,Pay-off Other Loans,22.30526971,1,21-03-1991,20,,15,0,275413,0.501465029,24,0,1/11/12,3150.308505,3359,???
40219,198179,43 months,7.86%,5303.454242,AD,9 years,Under Mortgage,1073900,Verified,12/12/11,Pay-off Other Loans,19.60753769,0,20-10-1994,,,11,0,238142,0.563799062,40,0,1/6/15,5374.624242,2884,???
26557,175919,56 months,17.78%,4644.89622,EE,10 years and above,Rental,477475,Source Verified,29-04-2011,Pay-off Other Loans,23.04280747,0,19-06-1987,,,6,0,259052,0.916504436,14,0,1/10/12,130858.7862,1670,???
30414,46391,40 months,11.78%,1407.887502,BC,2 years,Rental,589767,Not Verified,31-01-2012,Others,16.95042612,0,16-05-2003,62,,16,0,91357,0.813229852,22,0,1/4/15,1433.627502,3045,???
25570,16437,40 months,9.69%,482.5125561,BC,10 years and above,Rental,602143,Verified,5/1/11,Agriculture,21.37036981,1,29-07-1986,18,,17,0,292495,0.750774149,39,0,1/10/13,3109.862556,2650,???
35560,38513,46 months,8.51%,984.0821136,AD,Less than 1 year,Under Mortgage,358363,Not Verified,26-10-2009,Education,7.633117345,0,17-03-2004,,,6,0,11373,0.103916315,12,0,1/6/12,16052.98211,789,???
34979,109844,42 months,7.23%,2968.247951,AD,7 years,Under Mortgage,885936,Source Verified,8/4/11,Agriculture,0.992762964,0,9/9/01,,95,7,1,25940,0.367074376,18,0,1/9/14,3220.697951,507,???
32211,110091,39 months,12.27%,3437.016881,BD,2 years,Under Mortgage,1120673,Not Verified,15-09-2009,Pay-off Other Loans,14.10450347,0,2/1/96,,,24,0,341004,0.405479611,65,0,1/12/12,198.22,3554,???
32834,17549,37 months,13.66%,583.8039046,CB,2 years,Rental,248150,Not Verified,2/8/10,Install Solar Panel,11.28141859,0,13-06-2001,50,,9,0,31389,0.520352529,17,0,1/5/13,1825.043905,3363,???
26098,115485,53 months,10.43%,2728.307976,BE,6 years,Under Mortgage,1149032,Not Verified,15-11-2010,Pay Credit Card Bill,4.034806821,0,4/3/87,55,,5,0,120402,0.825019057,23,0,1/2/13,58240.35798,1525,???
31696,82396,46 months,15.03%,2367.366623,EC,5 years,Under Mortgage,818700,Not Verified,9/9/08,Pay-off Other Loans,19.13239504,0,25-05-1993,25,,14,0,298355,0.956212143,22,179.9936599,1/5/12,2369.456623,973,???
26670,54887,42 months,7.81%,1497.895932,AE,9 years,Under Mortgage,660628,Verified,7/6/10,Pay-off Other Loans,16.39177045,0,9/6/95,,,20,0,252870,0.4095338,36,0,1/10/13,1591.285932,3708,???
38335,132046,36 months,14.37%,4536.98733,DA,1 year,Own,523387,Source Verified,1/5/11,Home Renovation,7.072233722,2,2/5/96,10,85,25,1,73795,0.166714226,40,0,1/6/11,130631.9673,155,???
29793,131871,47 months,8.74%,3323.286955,AE,Less than 1 year,Rental,995289,Source Verified,3/11/11,Pay-off Other Loans,3.14059374,0,26-08-2004,,,7,0,118757,0.586503786,6,0,1/5/15,15892.98696,677,???
33775,275097,42 months,12.81%,8162.308208,CA,3 years,Rental,888609,Verified,4/3/10,Marriage,12.80053226,0,26-04-2005,,,6,0,77368,0.281917115,10,0,1/2/11,237692.1582,3182,???
37589,87863,38 months,12.52%,2812.649904,CB,1 year,Rental,883397,Not Verified,14-02-2011,Pay-off Other Loans,8.880474446,0,1/9/94,,,12,0,138673,0.696096507,18,0,1/2/14,3001.299904,1801,???
34615,123132,36 months,13.48%,4177.04259,CA,10 years and above,Rental,749626,Source Verified,4/11/11,Marriage,15.67480211,1,19-03-1996,13,,8,0,78460,0.593262245,15,0,1/8/12,98029.81259,3711,???
25523,131927,38 months,9.95%,4061.574009,BD,Less than 1 year,Rental,1032505,Not Verified,1/1/11,Pay Credit Card Bill,9.79356385,0,30-06-2000,,,8,0,99545,0.89202131,17,0,1/12/13,12912.28401,2511,???
37398,43939,60 months,15.83%,1064.650282,DB,4 years,Rental,342116,Verified,14-09-2011,Others,24.11805491,0,2/4/05,45,,14,0,46250,0.283078088,20,0,1/9/15,1064.650282,422,???
28188,165048,36 months,14.62%,5690.827525,DA,3 years,Rental,404662,Not Verified,30-06-2010,Others,17.62607995,0,23-03-2007,,,6,0,45476,0.477097779,8,0,1/4/13,5886.407525,2897,???
38124,329829,60 months,13.68%,7620.087302,CA,10 years and above,Under Mortgage,1601640,Verified,31-01-2012,Pay-off Other Loans,5.731868502,0,3/1/86,,,7,0,315557,0.591913244,29,0,1/4/15,138359.3773,921,???
31148,131895,41 months,14.11%,4072.652578,CC,3 years,Rental,371059,Not Verified,6/9/10,Pay-off Other Loans,23.46806928,0,19-02-2003,,,10,0,146905,0.744906319,10,0,1/1/14,4392.202578,3314,???
40113,164936,43 months,13.13%,4829.149247,CC,10 years and above,Under Mortgage,569707,Verified,22-02-2009,Pay-off Other Loans,21.8655896,0,20-06-1998,,,12,0,217962,0.747870503,27,0,1/4/12,27980.40925,376,???
28075,54980,37 months,11.17%,1763.435387,BC,1 year,Rental,539294,Source Verified,10/7/11,Pay-off Other Loans,19.93099428,0,1/11/01,,,7,0,60670,0.903291104,13,0,1/11/13,843.5053871,3495,???
34706,159371,60 months,14.33%,3735.324114,DB,10 years and above,Rental,513256,Verified,25-12-2010,Pay Credit Card Bill,25.15533155,0,20-01-1984,70,,9,0,154045,0.95064615,16,145.7945246,1/8/15,1804.714114,605,???
27949,180299,46 months,13.95%,5082.267158,CC,5 years,Own,604861,Verified,26-11-2010,Pay-off Other Loans,22.26350505,0,20-02-1963,,,11,0,246491,0.454605401,56,0,1/1/12,5082.267158,748,???
38886,55015,42 months,5.41%,1440.803441,AA,Not available,Under Mortgage,494837,Verified,8/5/11,Medical,6.529254695,0,23-11-1987,,,17,0,1329156,0.001676535,32,0,1/6/14,3207.623441,3684,???
34944,165196,41 months,12.19%,4946.653462,BD,9 years,Under Mortgage,993466,Not Verified,20-02-2010,Pay-off Other Loans,18.16113927,0,1/5/91,30,,14,0,101278,0.62959258,28,0,1/4/11,125794.5235,2814,???
37686,55047,37 months,9.89%,1732.26473,BD,Less than 1 year,Rental,1548856,Source Verified,16-12-2010,Pay Credit Card Bill,5.504909935,0,8/10/05,,,5,0,33578,0.844682278,12,0,1/12/13,1969.42473,980,???
31130,131989,41 months,13.55%,4039.831143,CC,10 years and above,Own,1219779,Not Verified,3/12/09,Pay-off Other Loans,10.55900129,0,16-05-1987,,113,7,1,79516,0.578827523,10,0,1/7/12,140.2211428,504,???
37177,384934,41 months,8.05%,10770.36434,AD,5 years,Under Mortgage,1383844,Verified,2/12/11,Pay-off Other Loans,11.38017164,0,1/8/99,,,12,0,483700,0.437841405,28,0,1/4/15,10998.06434,3164,???
40175,65932,44 months,9.76%,1788.517179,BA,10 years and above,Rental,1319786,Not Verified,19-06-2010,Education,6.848304844,0,31-01-2004,,,12,0,155346,0.687530069,22,0,1/12/13,1993.777179,3643,???
26788,132000,47 months,15.65%,3774.462452,DD,4 years,Under Mortgage,2080863,Not Verified,7/12/09,Pay-off Other Loans,8.392401962,0,24-05-2000,29,,12,0,365130,0.92915951,25,0,1/10/13,4088.512452,2192,???
37135,263978,46 months,11.79%,7160.323598,BC,Less than 1 year,Own,2084447,Verified,10/1/10,Pay-off Other Loans,2.328907285,0,14-11-1998,,,7,0,7954,0.023983678,13,0,1/11/10,265034.6436,479,???
28902,109822,47 months,8.04%,2731.466665,AE,8 years,Own,378955,Not Verified,1/3/10,Home Renovation,21.07611193,0,13-07-1997,,,11,0,106465,0.153067684,20,0,1/12/13,2925.726665,1669,???
38625,88083,42 months,12.07%,2581.517694,BD,4 years,Rental,338337,Not Verified,26-10-2009,Marriage,4.288681575,0,6/2/03,,,3,0,63671,0.473306295,10,0,1/2/13,2730.237694,2235,???
25602,109827,45 months,16.31%,3278.733161,EA,Less than 1 year,Rental,777259,Verified,3/4/11,Home Renovation,12.52218951,0,19-04-1996,37,,14,0,940,0.001355997,49,0,1/7/14,22208.19316,1601,???
36089,52763,48 months,8.54%,1301.448376,AD,1 year,Under Mortgage,636851,Not Verified,9/9/09,Relocation,8.481012867,0,17-02-2002,,,13,0,36894,0.19353916,21,0,1/3/13,7881.758376,2389,???
24747,17474,48 months,16.27%,497.661761,DA,8 years,Rental,327518,Not Verified,12/1/12,Pay-off Other Loans,16.84776543,1,18-04-1998,15,,8,0,66498,0.910030981,18,0,1/1/15,1016.971761,406,???
34091,52724,42 months,13.69%,1586.999982,CB,Less than 1 year,Own,220263,Not Verified,13-08-2010,Pay-off Other Loans,15.74832554,0,22-11-2004,42,,11,0,72328,0.466565179,11,0,1/12/12,1744.739982,2405,???
28948,109805,36 months,11.05%,3597.658649,BC,10 years and above,Under Mortgage,1475990,Not Verified,12/6/11,Pay Credit Card Bill,10.50267596,0,27-12-1994,61,,12,0,52781,0.762320165,35,0,1/7/13,34812.35865,743,???
33419,19729,43 months,14.54%,591.3467417,CD,Not available,Rental,133680,Not Verified,9/11/10,Pay-off Other Loans,11.81109321,0,20-02-2008,,,8,0,7578,0.510211696,11,0,1/4/14,684.0767417,1485,???
28660,109805,47 months,9.09%,2785.677459,AE,7 years,Under Mortgage,1069770,Not Verified,19-01-2010,Pay-off Other Loans,7.913776406,0,24-02-1997,,,8,0,225761,0.399731047,20,0,1/10/13,3055.947459,3852,???
27695,65803,44 months,7.57%,1717.338705,AD,1 year,Rental,753787,Not Verified,29-08-2011,Pay Credit Card Bill,17.04058392,0,6/2/99,28,,8,0,89349,0.572966637,20,0,1/11/13,31234.6287,515,???
27623,87906,36 months,14.96%,3045.527434,ED,1 year,Rental,624172,Not Verified,7/2/08,Others,5.343880534,1,27-10-2001,17,0,6,0,17928,0.597918973,15,0,1/1/11,3167.187434,413,???
37553,27544,43 months,11.09%,779.1167914,BA,6 years,Rental,602464,Not Verified,10/9/09,Agriculture,6.48864485,0,2/5/97,24,,5,0,20548,0.130045292,11,0,1/12/12,3443.316791,1253,???
28652,220162,49 months,15.16%,6054.228092,DC,10 years and above,Under Mortgage,717136,Source Verified,11/5/11,Pay-off Other Loans,11.35447995,0,14-10-1993,,,3,0,17464,0.127295491,16,0,1/6/10,221145.8081,547,???
36207,49696,48 months,11.19%,1289.01314,BC,2 years,Rental,226325,Not Verified,21-08-2011,Agriculture,6.082774398,0,16-10-2004,,,3,0,43282,0.414431431,5,0,1/6/15,1472.16314,3543,???
34214,132161,40 months,7.82%,3764.160845,AE,10 years and above,Under Mortgage,1400450,Verified,30-10-2010,Marriage,8.978406748,0,21-08-1987,,,6,0,508098,0.143796024,16,0,1/4/13,39871.11084,271,???
35089,131889,48 months,12.02%,3474.368821,BD,1 year,Rental,1035640,Not Verified,12/6/09,Pay-off Other Loans,2.198743234,0,16-10-1990,22,,8,0,165498,0.2643461,21,0,1/1/12,25088.15882,2923,???
25797,49311,41 months,14.10%,1522.601486,CD,3 years,Rental,339546,Not Verified,31-12-2009,Others,24.2896191,0,17-03-2003,25,,11,0,14216,0.358111685,25,0,1/4/12,48.16148592,2481,???
35847,154114,43 months,10.53%,4318.363377,BC,7 years,Rental,1091440,Not Verified,9/4/10,Pay-off Other Loans,11.53360366,0,17-07-1995,,,12,0,28073,0.186518014,23,0,1/6/13,19494.73338,362,???
37810,131896,48 months,5.46%,3064.911739,AA,2 years,Under Mortgage,1750829,Source Verified,4/7/11,Home Renovation,1.173213962,0,6/9/99,,,5,0,61516,0.258456236,14,0,1/6/15,3256.751739,2090,???
28932,76994,47 months,5.36%,1819.781313,AA,5 years,Under Mortgage,378980,Verified,30-12-2010,Pay-off Other Loans,11.83429412,0,1/1/02,,,7,0,25108,0.08026469,7,0,1/10/14,2122.941313,2816,???
27350,219818,57 months,12.35%,5116.576913,BD,5 years,Own,725225,Verified,25-11-2011,Pay Credit Card Bill,11.50556925,2,26-09-1980,14,,15,0,171575,0.252211971,36,0,1/11/12,175935.7969,2174,???
39509,33075,41 months,7.86%,922.5022695,AE,Not available,Under Mortgage,511371,Source Verified,16-11-2010,Home Renovation,2.059772697,0,21-04-1987,46,,7,0,29614,0.328343998,32,0,1/2/14,978.8222695,3607,???
33901,27490,42 months,7.94%,751.805023,AE,2 years,Under Mortgage,549386,Not Verified,28-03-2010,Others,20.35463698,0,13-03-1990,,,8,0,177570,0.316151323,37,0,1/8/13,52.36,3488,???
24643,246264,40 months,12.40%,7547.958062,BD,10 years and above,Under Mortgage,1217881,Source Verified,28-11-2011,Pay-off Other Loans,12.30703229,0,6/7/98,46,,15,0,448993,0.861780199,40,0,1/1/15,7745.188062,2436,???
38035,118178,36 months,12.15%,3933.842833,CA,3 years,Under Mortgage,864781,Verified,18-02-2011,Pay-off Other Loans,13.03551724,0,4/8/86,34,,14,0,137819,0.370377705,23,0,1/12/13,4082.782833,1766,???
29860,55152,37 months,6.65%,1652.832244,AB,3 years,Own,353155,Not Verified,18-01-2012,Others,16.17963562,0,18-01-2004,,,14,0,5447,0.291260498,29,0,1/6/12,1652.832244,2405,???
39262,19910,46 months,11.30%,535.2874543,BC,5 years,Rental,1841842,Source Verified,2/9/10,Pay-off Other Loans,1.127057223,2,28-10-1989,2,,7,0,31923,0.251112194,22,0,1/1/13,2396.487454,1116,???
38560,76963,46 months,14.67%,2197.341614,EC,Less than 1 year,Under Mortgage,504180,Not Verified,24-05-2008,Pay-off Other Loans,18.86000421,0,13-11-2000,47,0,17,0,290909,0.532710624,30,335.9795497,1/2/11,5024.891614,2686,???
25163,197960,43 months,17.28%,6207.542026,DC,10 years and above,Rental,878032,Verified,1/1/12,Pay-off Other Loans,21.5044932,0,12/1/95,,,18,0,241271,0.618350677,26,0,1/6/15,6375.402026,3018,???
30910,137666,40 months,17.58%,4572.474587,ED,2 years,Under Mortgage,1053238,Verified,26-03-2010,Pay Credit Card Bill,7.458342896,0,12/4/02,67,,7,0,162902,0.760272936,18,0,1/7/11,100632.6146,3964,???
31098,264093,38 months,17.95%,9161.719935,FA,3 years,Rental,3845363,Verified,29-01-2011,Pay-off Other Loans,9.275872855,0,31-05-1998,,,22,0,790609,1.007907765,54,0,1/5/13,9161.719935,2517,???
38313,49338,46 months,11.21%,1324.376176,BE,10 years and above,Rental,531294,Not Verified,24-04-2011,Pay Credit Card Bill,25.43840462,1,21-01-2000,24,,11,0,152250,0.585666821,17,0,1/1/15,1534.036176,1233,???
27810,164941,46 months,10.93%,4405.485068,BD,3 years,Rental,840889,Verified,13-03-2011,Pay-off Other Loans,23.6232836,0,27-11-1995,,,11,0,195761,0.68331595,22,0,1/12/14,4752.755068,1269,???
26598,43960,45 months,11.68%,1211.078036,BC,10 years and above,Under Mortgage,1172234,Not Verified,17-01-2012,Pay-off Other Loans,5.461835727,1,7/1/85,18,,14,0,67000,0.384415437,44,0,1/12/13,28782.13804,3884,???
25642,88013,40 months,13.45%,2742.524024,CB,3 years,Under Mortgage,398796,Source Verified,16-09-2010,Pay-off Other Loans,24.54472258,0,25-02-2005,,,10,0,60180,0.510129789,17,0,1/9/11,69863.09402,1682,???
26922,231038,47 months,11.30%,6106.407862,BE,2 years,Rental,702206,Verified,5/5/10,Buy House,15.77942157,0,19-03-2003,,,15,0,146542,0.40059766,30,0,1/11/13,36054.23786,3460,???
30281,68860,38 months,16.16%,2327.059568,CE,1 year,Rental,326003,Not Verified,19-01-2012,Pay-off Other Loans,21.10577434,0,6/5/00,,,7,0,63371,0.872605714,11,0,1/2/15,2454.659568,3663,???
31406,99141,48 months,7.90%,2415.705778,AD,7 years,Rental,486791,Source Verified,18-01-2012,Pay Credit Card Bill,12.57452092,0,1/11/00,,,9,0,195425,0.91839965,16,0,1/11/15,2458.935778,179,???
39055,23017,52 months,15.67%,612.5410363,DE,3 years,Rental,149672,Verified,15-12-2010,Others,21.12324399,0,18-08-2007,,,4,0,43419,0.457966416,5,0,1/7/11,19202.10104,1037,???
31581,26435,40 months,16.26%,860.4363098,DE,3 years,Under Mortgage,1392507,Not Verified,1/7/10,Home Renovation,18.55176187,0,31-01-1996,66,,14,0,160246,0.976967866,38,0,1/6/13,2443.66631,2029,???
29978,27477,47 months,11.38%,727.273957,BE,3 years,Rental,314801,Not Verified,29-04-2010,Others,18.82777251,0,5/11/01,28,,4,0,411,0.03536292,7,0,1/11/12,13360.66396,462,???
30548,82630,37 months,8.34%,2540.503111,AE,Not available,Own,310684,Verified,25-08-2011,Home Renovation,7.650487038,0,11/12/72,,,5,0,92678,0.334671838,12,0,1/8/13,32517.04311,3249,???
36929,79269,48 months,8.06%,1937.477716,AE,3 years,Under Mortgage,667017,Not Verified,27-10-2010,Others,6.255183521,0,2/6/98,,,3,0,124678,0.669471777,33,0,1/2/12,71238.24772,928,???
32205,274866,58 months,17.56%,7064.056884,DD,Less than 1 year,Rental,888231,Verified,23-11-2011,Pay-off Other Loans,20.67695543,0,29-05-1998,,,18,0,275702,0.507004299,28,0,1/9/11,276266.8369,930,???
25207,154721,52 months,13.93%,3980.15355,CC,10 years and above,Under Mortgage,718211,Verified,24-10-2011,Pay-off Other Loans,18.26463272,0,13-07-1995,,,14,0,374113,0.58846835,26,0,1/9/12,3980.15355,2515,???
32169,105641,46 months,8.36%,2692.080008,AE,2 years,Rental,491039,Source Verified,12/10/11,Pay Credit Card Bill,4.397443607,0,18-04-2006,,,7,0,36274,0.779607462,6,0,1/6/15,2930.120008,1916,???
